,nulos,porcentaje_nulos,valores_unicos
industrial,6556,99.9390243902439,3
businessfarm,6555,99.92378048780488,5
unemployment,6549,99.83231707317073,9
personal,6545,99.77134146341463,15
d_com108,6540,99.6951219512195,6
size_c,6536,99.63414634146342,9
d_com102,6526,99.48170731707317,16
d_com101,6525,99.46646341463415,17
g012,6525,99.46646341463415,9
d_com098,6519,99.375,2
a035_06,6516,99.32926829268293,8
exploit,6509,99.22256097560975,25
d_com060,6508,99.20731707317073,2
c024m,6508,99.20731707317073,12
other,6503,99.13109756097562,32
c044m,6501,99.10060975609755,12
d_com138,6495,99.00914634146342,5
d_com093,6493,98.97865853658536,3
d_com095,6493,98.97865853658536,19
l_sum,6484,98.84146341463415,3
realestateinc,6476,98.71951219512195,40
c064m,6474,98.6890243902439,12
c135,6469,98.61280487804878,8
c039m,6468,98.59756097560975,12
c133,6461,98.49085365853658,11
c017m,6461,98.49085365853658,12
c024y,6457,98.42987804878048,35
pensionins,6456,98.41463414634146,94
d_com110,6456,98.41463414634146,8
d_com107,6455,98.39939024390245,2
guarantee,6448,98.29268292682927,45
sideline,6447,98.27743902439025,34
c044y,6434,98.07926829268293,23
fromothers,6429,98.0030487804878,43
d_com105,6426,97.95731707317074,2
c034m,6424,97.92682926829268,12
c017y,6419,97.85060975609755,23
d_com125,6418,97.83536585365854,3
d_com137,6417,97.8201219512195,5
d_com118,6417,97.8201219512195,6
d_com130,6417,97.8201219512195,22
g011,6416,97.80487804878048,11
c039y,6410,97.71341463414635,22
fromparent,6409,97.69817073170731,18
c064y,6399,97.54573170731707,20
d_com106,6398,97.53048780487805,2
particular,6397,97.51524390243902,57
d_com015,6380,97.2560975609756,28
d_com068,6377,97.21036585365853,2
a035_05,6354,96.85975609756098,9
toothers,6328,96.46341463414633,36
d_com104,6293,95.9298780487805,2
c034y,6286,95.82317073170732,25
wholelifeins,6279,95.71646341463415,213
house_sum,6272,95.60975609756098,64
c012m,6232,95.0,12
c309,6202,94.54268292682927,2
a035_03,6191,94.375,10
bp1_2,6160,93.90243902439023,3
regularins,6149,93.73475609756098,338
g010,6147,93.70426829268293,11
d_com025,6111,93.15548780487805,15
c131,6095,92.91158536585365,15
bb_adl_num1,6074,92.59146341463415,5
bb_adl_num2,6074,92.59146341463415,5
f013_n,6073,92.57621951219512,65
c049m,6044,92.13414634146342,12
d_com139m,6002,91.49390243902438,12
bp5,5991,91.32621951219512,10
bp6,5991,91.32621951219512,10
bp4,5991,91.32621951219512,4
bp3,5991,91.32621951219512,3
g003,5948,90.67073170731707,11
agriculture,5938,90.51829268292683,59
national,5927,90.35060975609757,89
oopm1,5926,90.33536585365853,73
n_days,5898,89.90853658536585,51
c012y,5896,89.8780487804878,36
insurance,5892,89.8170731707317,484
target1,5883,89.6798780487805,2
g004,5866,89.42073170731707,11
socialwelfare,5791,88.27743902439025,32
g009,5790,88.26219512195121,11
financial,5786,88.20121951219512,47
annuity,5780,88.10975609756098,126
tochildren,5745,87.57621951219512,113
assetinc,5728,87.3170731707317,85
c007m,5715,87.1189024390244,12
socialsecurity,5665,86.35670731707317,88
d_com145,5653,86.17378048780488,7
c124m,5641,85.99085365853658,12
toparent,5614,85.57926829268293,52
c049y,5538,84.42073170731707,39
g008,5515,84.0701219512195,11
selfemployed,5509,83.97865853658537,79
d_com139y,5472,83.41463414634146,40
d_com142,5469,83.3689024390244,11
d_com157,5462,83.26219512195122,2
d_com144,5462,83.26219512195122,2
d_com140,5462,83.26219512195122,12
d_com149,5462,83.26219512195122,2
c129,5396,82.2560975609756,21
d_com037,5355,81.6310975609756,60
bm3,5312,80.97560975609757,3
bm6,5312,80.97560975609757,10
bm4,5312,80.97560975609757,4
bm5,5312,80.97560975609757,10
d_com052,5300,80.79268292682927,93
d_com057,5275,80.41158536585365,4
d_com055,5274,80.39634146341463,2
d_com081,5274,80.39634146341463,4
d_com053,5274,80.39634146341463,4
d_com049,5273,80.38109756097562,8
d_com056,5273,80.38109756097562,2
d_com054,5273,80.38109756097562,3
d_com024,5273,80.38109756097562,2
full_parttime,5273,80.38109756097562,2
d_com066,5273,80.38109756097562,2
d_com082,5273,80.38109756097562,4
d_com014,5273,80.38109756097562,2
wage,5229,79.71036585365854,163
a035_04,5120,78.04878048780488,10
d_com001,5104,77.8048780487805,7
size_n,5083,77.48475609756098,106
publictrans,5065,77.21036585365853,197
job_startm,5052,77.01219512195122,12
pliabilities,5033,76.72256097560975,174
a035_01,4997,76.17378048780488,10
otherasset,4980,75.91463414634147,74
livenear,4954,75.51829268292683,7
c007y,4866,74.17682926829269,38
transferto,4861,74.10060975609755,201
contact1,4821,73.49085365853658,6
c127,4397,67.02743902439025,27
bp1_1,4353,66.35670731707317,2
c312,4179,63.70426829268293,55
c304,4168,63.53658536585366,2
c311,4144,63.170731707317074,11
d_com085,3994,60.88414634146342,4
d_com084,3994,60.88414634146342,4
c126,3988,60.792682926829265,8
c132,3987,60.77743902439025,5
c128,3987,60.77743902439025,7
c134,3987,60.77743902439025,7
c130,3987,60.77743902439025,7
addic,3987,60.77743902439025,3
c112,3965,60.4420731707317,29
c111,3965,60.4420731707317,14
livewithnm,3933,59.95426829268292,4
c124y,3870,58.993902439024396,66
job,3817,58.1859756097561,10
chronic_j,3813,58.12500000000001,2
ind,3806,58.018292682926834,20
job_starty,3804,57.98780487804878,64
earned,3782,57.65243902439025,264
fromchildren,3743,57.05792682926829,207
d_com031,3738,56.98170731707317,7
d_com073,3735,56.9359756097561,4
d_com077,3735,56.9359756097561,4
status,3735,56.9359756097561,5
d_com080,3735,56.9359756097561,4
d_com078,3735,56.9359756097561,4
d_com079,3735,56.9359756097561,4
d_com076,3735,56.9359756097561,4
d_com097,3735,56.9359756097561,2
d_com090,3735,56.9359756097561,5
d_com092,3735,56.9359756097561,6
d_com089,3735,56.9359756097561,4
d_com075,3735,56.9359756097561,4
d_com074,3735,56.9359756097561,4
d_com032,3734,56.920731707317074,87
financialasset,3706,56.49390243902439,621
emp,3697,56.35670731707317,4
d_com096,3605,54.954268292682926,41
transferfrom,3595,54.80182926829268,221
residence,3451,52.60670731707317,149
realestate,3311,50.47256097560976,223
labor_st,3109,47.39329268292683,3
retired,3109,47.39329268292683,3
livewith,2952,45.0,5
job_search,2832,43.170731707317074,2
contact2,2828,43.109756097560975,8
ba075,2816,42.926829268292686,2
c068,2762,42.103658536585364,2
c303,2761,42.088414634146346,2
a035_02,2703,41.204268292682926,10
c109,2595,39.55792682926829,5
c102,2457,37.45426829268293,2
g007,2408,36.70731707317073,11
c306,2356,35.91463414634146,53
passets,2243,34.19207317073171,1167
pnetassets,2135,32.545731707317074,1298
pinc,1552,23.65853658536585,1290
oopm2,1489,22.698170731707318,350
residence_,1346,20.518292682926827,2
g028,1134,17.286585365853657,11
hhinc,431,6.570121951219512,261
ecoact_s,375,5.716463414634147,5
c302,368,5.609756097560976,2
c305,367,5.594512195121951,5
mgrip,365,5.564024390243903,308
edu_s,356,5.426829268292683,5
g029,148,2.2560975609756095,11
bmi,125,1.9054878048780488,1004
c107,115,1.753048780487805,45
c149,42,0.6402439024390244,4
c151,42,0.6402439024390244,4
c147,42,0.6402439024390244,4
c142,42,0.6402439024390244,4
